output_id,output_type,path,created,description,solver_name,solver_variant,case_count,contains_boundary_metrics,contains_greek_metrics,contains_lcp_metrics,downstream_use_status,review_status
risk_analytics_run_summary,table,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/03_quantitative_risk_analytics/tables/risk_analytics_run_summary.csv,True,Run-level quantitative risk analytics summary.,american_crank_nicolson_psor_price,baseline_cn_psor,31,True,True,True,analytics_diagnostic_only,human_review_required_before_scaling
risk_analytics_boundary_metrics,table,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/03_quantitative_risk_analytics/tables/risk_analytics_boundary_metrics.csv,True,Selected-time threshold boundary and continuation-premium metrics.,american_crank_nicolson_psor_price,baseline_cn_psor,31,True,False,False,analytics_diagnostic_only,human_review_required_before_scaling
risk_analytics_greek_metrics,table,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/03_quantitative_risk_analytics/tables/risk_analytics_greek_metrics.csv,True,Finite-difference Greek diagnostics with caution-mask metrics.,american_crank_nicolson_psor_price,baseline_cn_psor,31,False,True,False,analytics_diagnostic_only,human_review_required_before_scaling
risk_analytics_lcp_metrics,table,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/03_quantitative_risk_analytics/tables/risk_analytics_lcp_metrics.csv,True,"Obstacle, equation, and complementarity diagnostic metrics.",american_crank_nicolson_psor_price,baseline_cn_psor,31,False,False,True,analytics_diagnostic_only,human_review_required_before_scaling
risk_analytics_runtime_iterations,table,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/03_quantitative_risk_analytics/tables/risk_analytics_runtime_iterations.csv,True,Runtime and PSOR iteration diagnostics.,american_crank_nicolson_psor_price,baseline_cn_psor,31,False,False,False,analytics_diagnostic_only,human_review_required_before_scaling
risk_analytics_output_manifest,table,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/03_quantitative_risk_analytics/tables/risk_analytics_output_manifest.csv,True,Manifest for every quantitative risk analytics table and figure.,american_crank_nicolson_psor_price,baseline_cn_psor,31,True,True,True,analytics_diagnostic_only,human_review_required_before_scaling
put_boundary_vs_volatility,figure,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/03_quantitative_risk_analytics/figures/risk_analytics_put_boundary_vs_volatility.png,True,American put final-time boundary moneyness versus volatility.,american_crank_nicolson_psor_price,baseline_cn_psor,31,True,False,False,analytics_diagnostic_only,human_review_required_before_scaling
call_boundary_vs_dividend_yield,figure,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/03_quantitative_risk_analytics/figures/risk_analytics_call_boundary_vs_dividend_yield.png,True,Dividend-call final-time boundary moneyness versus dividend yield.,american_crank_nicolson_psor_price,baseline_cn_psor,31,True,False,False,analytics_diagnostic_only,human_review_required_before_scaling
put_vol_boundary_curves,figure,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/03_quantitative_risk_analytics/figures/risk_analytics_put_vol_boundary_curves.png,True,American put boundary curves across volatility.,american_crank_nicolson_psor_price,baseline_cn_psor,31,True,False,False,analytics_diagnostic_only,human_review_required_before_scaling
call_q_boundary_curves,figure,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/03_quantitative_risk_analytics/figures/risk_analytics_call_q_boundary_curves.png,True,Dividend-call boundary curves across dividend yield.,american_crank_nicolson_psor_price,baseline_cn_psor,31,True,False,False,analytics_diagnostic_only,human_review_required_before_scaling
gamma_concentration,figure,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/03_quantitative_risk_analytics/figures/risk_analytics_gamma_concentration.png,True,Full and strict-mask Gamma concentration across key stress sweeps.,american_crank_nicolson_psor_price,baseline_cn_psor,31,False,True,False,analytics_diagnostic_only,human_review_required_before_scaling
psor_runtime_iterations,figure,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/03_quantitative_risk_analytics/figures/risk_analytics_psor_runtime_iterations.png,True,PSOR iteration and runtime diagnostics across analytics cases.,american_crank_nicolson_psor_price,baseline_cn_psor,31,False,False,False,analytics_diagnostic_only,human_review_required_before_scaling
lcp_stability,figure,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/03_quantitative_risk_analytics/figures/risk_analytics_lcp_stability.png,True,LCP diagnostic stability across analytics cases.,american_crank_nicolson_psor_price,baseline_cn_psor,31,False,False,True,analytics_diagnostic_only,human_review_required_before_scaling
call_q_sigma_boundary_heatmap,figure,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/03_quantitative_risk_analytics/figures/risk_analytics_call_q_sigma_boundary_heatmap.png,True,Small aggregate dividend-call boundary heatmap over q and sigma.,american_crank_nicolson_psor_price,baseline_cn_psor,31,True,False,False,analytics_diagnostic_only,human_review_required_before_scaling
