category,item,decision,conditions,evidence_basis,blocked_until,review_note
gate_decision,application strength gate,READY_FOR_DATASET_PLANNING_WITH_LIMITATIONS,"Proceed only to a written surrogate dataset design plan; do not generate datasets or labels.","Ticket 12 passed solver validation with limitations; Pilot 01 and quantitative analytics produced coherent diagnostic evidence.","Human review accepts a separate dataset design plan.","This decision approves planning only, not construction."
solver,baseline American CN/PSOR,required_default,"All future dataset-design labels must be planned around the validated Ticket 04 baseline solver unless a later gate approves otherwise.","Ticket 04 solver validation ladder; Ticket 10A kept baseline for now; downstream design gate selected baseline.","A later method-comparison gate approves a different default.","No silent Rannacher default."
solver,Rannacher-smoothed CN/PSOR,comparison_only,"May appear only as a separately labelled comparison method, not as default label source.","Ticket 10A found no clear enough strict-Gamma benefit to replace baseline.","A later gate explicitly approves smoothed labels.","Any future use must preserve method identity."
normalization,normalized strike K=1,planning_rule,"Use K=1 for first surrogate dataset design to keep moneyness and boundary interpretation stable.","Pilot 01 and quantitative analytics used K=1.","A later design plan justifies additional strike scaling.","Store moneyness and raw spot metadata."
regimes,American put and dividend-paying American call,required_scope,"Include both option families in the design plan; do not train only on one family.","Pilot 01 and quantitative analytics produced evidence for both families.","Human review approves a narrower initial prototype.","Dividend-paying calls need separate attention."
parameters,r q sigma and T,design_variables,"Plan controlled ranges for interest rate, dividend yield, volatility, and maturity; do not launch broad sweeps in this gate.","Methodology handout and planning report identify these as risk-surface drivers.","Separate parameter-range review approves values and budgets.","Start from small controlled ranges."
splitting,regime-level train/test split,required_design_rule,"Future design must include held-out regimes, not only random point splits within solved surfaces.","Methodology handout warns that surrogate value depends on out-of-regime behavior.","Dataset design plan specifies concrete held-out regimes.","Random splits alone are insufficient."
outputs,option value,planning_candidate,"May be planned as a future label only with solver, grid, parameter, convergence, and diagnostic metadata.","European and American validation tickets plus Pilot 01 price surfaces.","Dataset construction gate approves label export.","Planning candidate only."
outputs,payoff,planning_candidate,"May be stored as analytic reference metadata in future design.","Ticket 01 payoff utilities and obstacle validation.","Dataset construction gate approves label export.","Not a learned risk label by itself."
outputs,continuation premium U-payoff,planning_candidate_with_caution,"May be planned because it supports obstacle and boundary interpretation; keep distinction from American-minus-European value.","Tickets 08 and 09; Pilot 01 premium maps.","Dataset construction gate approves label export.","Useful but threshold-dependent near exercise."
outputs,exercise or continuation indicator,diagnostic_candidate_only,"May be planned only as threshold-derived diagnostic metadata with threshold recorded.","Ticket 09 boundary extraction and Pilot 01 indicator maps.","Boundary-label policy is reviewed.","Do not call exact exercise truth."
outputs,approximate boundary curve,diagnostic_candidate_only,"May be planned as threshold-based metadata; must include threshold interpolation and found/not-found status.","Ticket 09 extraction; Ticket 11 sensitivity; quantitative analytics boundary directions.","Boundary-label policy is reviewed.","Not exact analytical free boundary."
outputs,Delta diagnostics,cautioned_candidate,"May be planned only with endpoint kink maturity boundary and strict-mask metadata.","Ticket 10 Greek diagnostics; downstream design gate.","Greek-label policy is reviewed.","Diagnostic, not production label."
outputs,Gamma diagnostics,blocked_as_unmasked_label,"Do not use unmasked Gamma as a training label; avoid kink boundary and maturity zones unless masks are stored and reviewed.","Ticket 10 and quantitative analytics show full-grid max |Gamma|=30 with strict-mask caution.","A separate Greek-label gate approves masked targets.","Most fragile output."
metadata,PSOR convergence and iterations,required_metadata,"Every future solved regime must record convergence flag max iterations mean iterations and final update.","Tickets 04 through 12; Pilot 01 and analytics manifests.","Never blocked; required for all downstream stages.","Missing convergence metadata blocks label use."
metadata,LCP diagnostics,required_metadata,"Every future solved regime must record obstacle violation equation violation and complementarity product.","Ticket 08 diagnostics; quantitative analytics max obstacle 0 and small LCP residuals.","Never blocked; required for all downstream stages.","Missing LCP diagnostics blocks label use."
metadata,boundary and Greek masks,required_metadata_if_used,"Boundary threshold status and Greek masks must accompany any boundary or Greek output.","Tickets 09 and 10; downstream design gate.","Never blocked when those outputs are used.","Masks are part of the data design, not optional decoration."
blocked,dataset construction,blocked,"Do not write training CSV NPZ PT or array exports in this gate.","Application strength gate is planning-only.","A future dataset construction plan is approved.","This CSV is policy, not a dataset."
blocked,neural surrogate training,blocked,"Do not train neural networks or save model files.","Teacher methodology requires credible benchmark and application diagnostics before surrogate work.","Dataset plan and model plan are separately approved.","Surrogate stage is not automatically ready."
blocked,broad parameter sweeps,blocked,"Do not launch broad regime generation from this gate.","Pilot 01 and analytics were intentionally small.","Human review approves parameter budgets.","Avoid turning diagnostics into accidental data generation."
blocked,production Greek labels,blocked,"Do not claim finite-difference Greeks are production labels.","Gamma remains fragile near payoff kink maturity and boundary bands.","A later Greek-label review approves masked treatment.","Keep wording conservative."
blocked,final paper-style claims across all regimes,blocked,"Do not claim exact boundaries full convergence or surrogate readiness across all parameter regimes.","Ticket 12 claims-not-supported table and analytics limitations.","Additional validation and human review support broader claims.","Current evidence is representative, not universal."
