output_id,output_type,case_name,case_family,variation_name,path,created,description,solver_name,solver_variant,K,T,r,q,sigma,Smax,M,N,premium_threshold,interpretation_lower_moneyness,interpretation_upper_moneyness,contains_greek_diagnostics,contains_boundary_overlay,downstream_use_status,review_status
pilot_01_run_summary,table,,,,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/02_pilot_stress_maps/tables/pilot_01_run_summary.csv,True,"Run-level solver, grid, convergence, boundary, and acceptance summary.",american_crank_nicolson_psor_price,baseline_cn_psor,,,,,,,,,1e-06,0.4,1.8,False,False,pilot_diagnostic_only,human_review_required_before_scaling
pilot_01_diagnostic_summary,table,,,,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/02_pilot_stress_maps/tables/pilot_01_diagnostic_summary.csv,True,LCP and Greek diagnostic summary for each pilot case.,american_crank_nicolson_psor_price,baseline_cn_psor,,,,,,,,,1e-06,0.4,1.8,True,False,pilot_diagnostic_only,human_review_required_before_scaling
pilot_01_boundary_summary,table,,,,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/02_pilot_stress_maps/tables/pilot_01_boundary_summary.csv,True,Threshold-based boundary extraction metadata for each pilot case.,american_crank_nicolson_psor_price,baseline_cn_psor,,,,,,,,,1e-06,0.4,1.8,False,True,pilot_diagnostic_only,human_review_required_before_scaling
pilot_01_selected_slices,table,,,,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/02_pilot_stress_maps/tables/pilot_01_selected_slices.csv,True,"Selected tau and moneyness rows with value, premium, boundary, and Greek diagnostics.",american_crank_nicolson_psor_price,baseline_cn_psor,,,,,,,,,1e-06,0.4,1.8,True,True,pilot_diagnostic_only,human_review_required_before_scaling
pilot_01_output_manifest,table,,,,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/02_pilot_stress_maps/tables/pilot_01_output_manifest.csv,True,Manifest for every Pilot 01 table and figure.,american_crank_nicolson_psor_price,baseline_cn_psor,,,,,,,,,1e-06,0.4,1.8,False,False,pilot_diagnostic_only,human_review_required_before_scaling
pilot_01_value_heatmap,figure,,,,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/02_pilot_stress_maps/figures/pilot_01_base_value_heatmaps.png,True,Base put/call option value heatmaps over the interpretation region.,american_crank_nicolson_psor_price,baseline_cn_psor,,,,,,,,,1e-06,0.4,1.8,False,False,pilot_diagnostic_only,human_review_required_before_scaling
pilot_01_premium_heatmap,figure,,,,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/02_pilot_stress_maps/figures/pilot_01_base_premium_heatmaps.png,True,Base put/call continuation-premium heatmaps.,american_crank_nicolson_psor_price,baseline_cn_psor,,,,,,,,,1e-06,0.4,1.8,False,False,pilot_diagnostic_only,human_review_required_before_scaling
pilot_01_indicator_boundary,figure,,,,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/02_pilot_stress_maps/figures/pilot_01_base_indicator_boundary_maps.png,True,Base exercise/continuation maps with threshold boundary overlays.,american_crank_nicolson_psor_price,baseline_cn_psor,,,,,,,,,1e-06,0.4,1.8,False,True,pilot_diagnostic_only,human_review_required_before_scaling
pilot_01_value_slices,figure,,,,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/02_pilot_stress_maps/figures/pilot_01_base_selected_value_slices.png,True,Base value slices at selected time-to-maturity levels.,american_crank_nicolson_psor_price,baseline_cn_psor,,,,,,,,,1e-06,0.4,1.8,False,False,pilot_diagnostic_only,human_review_required_before_scaling
pilot_01_boundary_variation,figure,,,,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/02_pilot_stress_maps/figures/pilot_01_boundary_variation_comparison.png,True,Boundary curve comparison across one-at-a-time pilot variations.,american_crank_nicolson_psor_price,baseline_cn_psor,,,,,,,,,1e-06,0.4,1.8,False,True,pilot_diagnostic_only,human_review_required_before_scaling
pilot_01_premium_variation,figure,,,,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/02_pilot_stress_maps/figures/pilot_01_premium_slice_variation_comparison.png,True,Mid-time continuation-premium slices across pilot variations.,american_crank_nicolson_psor_price,baseline_cn_psor,,,,,,,,,1e-06,0.4,1.8,False,False,pilot_diagnostic_only,human_review_required_before_scaling
pilot_01_greek_diagnostic,figure,,,,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/02_pilot_stress_maps/figures/pilot_01_greek_diagnostic_slices.png,True,Base Gamma diagnostic slices with kink and boundary cautions.,american_crank_nicolson_psor_price,baseline_cn_psor,,,,,,,,,1e-06,0.4,1.8,True,True,pilot_diagnostic_only,human_review_required_before_scaling
