category,output,decision,conditions,label_status,evidence_basis,review_note
solver,baseline American CN/PSOR,default,"Use Ticket 04 baseline solver for pilot work; keep PSOR convergence metadata attached.",not_a_label,"Ticket 12 PASS_SOLVER_VALIDATION_WITH_LIMITATIONS; Ticket 10A KEEP_BASELINE_FOR_NOW","Accepted for small pilot after human review."
solver,Rannacher-smoothed CN/PSOR,comparison_only,"Use only as a named comparison tool when Gamma or kink behavior needs a check.",not_a_label,"Ticket 10A price and boundary shifts small but strict Gamma did not improve","Do not silently replace baseline."
grid,M=N=120 with Smax=4K,pilot_default,"Use for first pilot cases with K=1 and reported S/K region [0.4,1.8].",not_a_label,"Ticket 11 practical grid/domain sensitivity","Runtime-friendly default; not production setting."
grid,M=N=180 with Smax=4K,confirmation_check,"Rerun selected pilot cases before scaling or interpreting delicate boundary/Greek features.",not_a_label,"Ticket 11 finest grid reference","Higher accuracy check; not a convergence proof by itself."
output,option value or price,allowed,"Report with full parameter metadata and convergence diagnostics.",candidate_pilot_output,"Tickets 03,05,06,07,11","Allowed for pilot stress maps after human review."
output,payoff,allowed,"Report as benchmark and obstacle reference.",candidate_pilot_output,"Tickets 01,04,05","Allowed because it is analytic and needed for interpretation."
output,continuation premium U-payoff,allowed_with_metadata,"Report threshold and option type; do not confuse with American-minus-European value.",diagnostic_only,"Tickets 08,09","Useful for pilot maps and boundary interpretation."
output,exercise or continuation indicator,allowed_with_metadata,"Derive from continuation premium threshold and record threshold.",diagnostic_only,"Ticket 09 threshold-based extraction","Indicator is approximate and grid-dependent."
output,approximate free-boundary curve,cautioned,"Use continuation-premium threshold and interpolation metadata; do not call exact analytical boundary.",diagnostic_only,"Tickets 09,11","Allowed for plots only with caveats."
output,Delta diagnostics,cautioned,"Plot only with endpoint, kink, maturity, boundary, and strict-mask metadata.",diagnostic_only_not_label,"Tickets 10,11","Not a production Greek label."
output,Gamma diagnostics,cautioned,"Plot full-grid and strict-mask versions; flag kink, maturity, and boundary bands.",diagnostic_only_not_label,"Tickets 10,10A,11","Most fragile output; never use as label yet."
output,PSOR convergence metadata,required,"Attach all-steps-converged, iteration, and final-update summaries.",not_a_label,"Tickets 04,05,07,08,11","Required for every pilot plot/table."
output,LCP obstacle and complementarity diagnostics,required,"Attach obstacle violation, equation violation, and complementarity metrics.",not_a_label,"Tickets 08,11","Required before interpreting stress-map patterns."
blocked,large training datasets,blocked,"Do not generate until pilot maps pass human review and label policy is approved.",blocked_label,"Ticket 12 limitations and planning gate","Dataset construction remains blocked."
blocked,neural surrogate labels,blocked,"Do not export price, boundary, or Greek labels for training in this gate.",blocked_label,"Ticket 12 and reference integration cautions","Neural work remains downstream."
blocked,production Greek labels,blocked,"Do not treat finite-difference Greeks as production risk measures.",blocked_label,"Tickets 10,11","Gamma fragility is unresolved."
blocked,broad parameter sweeps,blocked,"Do not run wide stress grids before the small pilot and acceptance checks.",blocked_label,"Solver validation plan Gate 2","Start with one-at-a-time pilot variations."
blocked,final paper-style claims beyond evidence,blocked,"Do not claim full convergence, exact free boundaries, or production readiness.",blocked_label,"Ticket 12 claims-not-supported table","Use conservative wording."
