output_id,output_type,path,created,description,row_count,solver_name,solver_variant,downstream_use_status,review_status
dataset_v1_small_grid_npz,npz,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/04_surrogate_dataset/v1_small_grid/dataset_v1_small_grid.npz,True,Compressed v1 arrays for accepted rows only.,1498464,american_crank_nicolson_psor_price,baseline_cn_psor,v1_small_grid_only,READY_FOR_PRICE_SURROGATE_PLANNING
regime_manifest,csv,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/04_surrogate_dataset/v1_small_grid/regime_manifest.csv,True,Per-regime v1 parameter and acceptance manifest.,288,american_crank_nicolson_psor_price,baseline_cn_psor,v1_small_grid_only,READY_FOR_PRICE_SURROGATE_PLANNING
diagnostic_summary,csv,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/04_surrogate_dataset/v1_small_grid/diagnostic_summary.csv,True,"Per-regime PSOR, LCP, boundary, and Greek diagnostics.",288,american_crank_nicolson_psor_price,baseline_cn_psor,v1_small_grid_only,READY_FOR_PRICE_SURROGATE_PLANNING
split_assignment,csv,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/04_surrogate_dataset/v1_small_grid/split_assignment.csv,True,Regime-level split assignments and accepted row counts.,288,american_crank_nicolson_psor_price,baseline_cn_psor,v1_small_grid_only,READY_FOR_PRICE_SURROGATE_PLANNING
schema_snapshot,csv,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/04_surrogate_dataset/v1_small_grid/schema_snapshot.csv,True,"Feature, label, mask, and audit schema snapshot.",33,american_crank_nicolson_psor_price,baseline_cn_psor,v1_small_grid_only,READY_FOR_PRICE_SURROGATE_PLANNING
quality_summary,csv,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/04_surrogate_dataset/v1_small_grid/v1_dataset_quality_summary.csv,True,Aggregate v1 dataset QA summary.,13,american_crank_nicolson_psor_price,baseline_cn_psor,v1_small_grid_only,READY_FOR_PRICE_SURROGATE_PLANNING
higher_grid_confirmation,csv,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/04_surrogate_dataset/v1_small_grid/v1_higher_grid_confirmation.csv,True,QA-only M=N=180 confirmation rows.,4,american_crank_nicolson_psor_price,baseline_cn_psor,v1_small_grid_only,READY_FOR_PRICE_SURROGATE_PLANNING
generation_log,txt,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/04_surrogate_dataset/v1_small_grid/generation_log.txt,True,Plain-text generation progress log.,0,american_crank_nicolson_psor_price,baseline_cn_psor,v1_small_grid_only,READY_FOR_PRICE_SURROGATE_PLANNING
output_manifest,csv,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/04_surrogate_dataset/v1_small_grid/output_manifest.csv,True,Manifest for every v1 output.,0,american_crank_nicolson_psor_price,baseline_cn_psor,v1_small_grid_only,READY_FOR_PRICE_SURROGATE_PLANNING
v1_split_row_counts,png,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/04_surrogate_dataset/v1_small_grid/figures/v1_split_row_counts.png,True,Optional v1 dataset QA figure.,0,american_crank_nicolson_psor_price,baseline_cn_psor,v1_small_grid_only,READY_FOR_PRICE_SURROGATE_PLANNING
v1_diagnostic_thresholds,png,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/04_surrogate_dataset/v1_small_grid/figures/v1_diagnostic_thresholds.png,True,Optional v1 dataset QA figure.,0,american_crank_nicolson_psor_price,baseline_cn_psor,v1_small_grid_only,READY_FOR_PRICE_SURROGATE_PLANNING
v1_premium_distribution,png,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/04_surrogate_dataset/v1_small_grid/figures/v1_premium_distribution.png,True,Optional v1 dataset QA figure.,0,american_crank_nicolson_psor_price,baseline_cn_psor,v1_small_grid_only,READY_FOR_PRICE_SURROGATE_PLANNING
v1_boundary_availability,png,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/04_surrogate_dataset/v1_small_grid/figures/v1_boundary_availability.png,True,Optional v1 dataset QA figure.,0,american_crank_nicolson_psor_price,baseline_cn_psor,v1_small_grid_only,READY_FOR_PRICE_SURROGATE_PLANNING
v1_gamma_mask_summary,png,/Users/xrx/Documents/Codex/2026-surf-american-risk-surfaces/results/04_surrogate_dataset/v1_small_grid/figures/v1_gamma_mask_summary.png,True,Optional v1 dataset QA figure.,0,american_crank_nicolson_psor_price,baseline_cn_psor,v1_small_grid_only,READY_FOR_PRICE_SURROGATE_PLANNING
